Scenario ID,Health Signal,Subsystem,Current Task,Condition,Anomaly,Recommended Procedure,Expected Outcome,Operator Approval Required,Priority
SCN-00001,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00002,Yellow,Thermal,Downlink,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00003,Yellow,Thermal,Calibration,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00004,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00005,Red,Thermal,Downlink,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-00006,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00007,Green,Payload,Orbit Correction,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00008,Green,Power,Capturing Earth Images,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00009,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00010,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00011,Yellow,Payload,Downlink,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00012,Yellow,Storage,Calibration,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00013,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00014,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00015,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00016,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00017,Red,Payload,Idle,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-00018,Yellow,Thermal,Capturing Earth Images,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00019,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00020,Yellow,Thermal,Idle,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00021,Yellow,Thermal,Downlink,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00022,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00023,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00024,Green,Payload,Orbit Correction,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00025,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00026,Green,Power,Orbit Correction,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00027,Red,Power,Idle,Solar Panel Failure,Power Failure,Disable Payload,Reduce power consumption,Yes,Critical
SCN-00028,Yellow,Thermal,Calibration,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00029,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00030,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00031,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00032,Green,Communication,Calibration,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00033,Yellow,Payload,Orbit Correction,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00034,Red,Power,Orbit Correction,Battery < 20%,Power Failure,Enter Safe Mode,Prevent complete battery depletion,Yes,Critical
SCN-00035,Red,Power,Calibration,Battery < 20%,Power Failure,Enter Safe Mode,Prevent complete battery depletion,Yes,Critical
SCN-00036,Green,Power,Calibration,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00037,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00038,Yellow,Storage,Capturing Earth Images,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00039,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00040,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00041,Green,Power,Downlink,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00042,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00043,Yellow,Communication,Orbit Correction,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00044,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00045,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00046,Red,Power,Calibration,Battery < 20%,Power Failure,Enter Safe Mode,Prevent complete battery depletion,Yes,Critical
SCN-00047,Yellow,Communication,Capturing Earth Images,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
